Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	0	308	303	79	25.64935	5.42857	0.25872	0.02898	0.91342	0.02774	0.00949	0.16883	0.10702	0.01864	0.83117	0.10702	0.01864	0.10287	0.03468	0.01061	0.89713	0.03468	0.01061	0.11318	0.04204	0.01168	-0.10420	0.06239	0.02898
glutinosus_SG_Fresh	glutinosus	SG	Fresh	3	308	303	77	25.00000	2.00000	0.00000	0.00000	0.89529	0.03644	0.01088	0.20617	0.14384	0.02161	0.79383	0.14384	0.02161	0.11485	0.04056	0.01148	0.88515	0.04056	0.01148	0.15314	0.07211	0.01530	-0.07955	0.03844	0.00000
yonahlossee_SG_Blood	yonahlossee	SG	Blood	0	307	302	65	21.17264	1.97394	0.02546	0.00911	0.92508	0.02419	0.00888	0.14984	0.09676	0.01775	0.85016	0.09676	0.01775	0.09039	0.03132	0.01010	0.90961	0.03132	0.01010	0.12161	0.05724	0.01365	-0.04235	0.01944	0.00911
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	1	308	303	46	14.93506	1.40909	0.24252	0.02806	0.93344	0.02691	0.00935	0.13312	0.10763	0.01869	0.86688	0.10763	0.01869	0.07062	0.02889	0.00969	0.92938	0.02889	0.00969	0.11688	0.08456	0.01657	-0.02435	0.01162	0.02806
glutinosus_SG_FFS	glutinosus	SG	FFS	0	166	165	15	9.03614	1.93976	0.97817	0.07676	0.97164	0.00941	0.00753	0.05070	0.03222	0.01393	0.94930	0.03222	0.01393	0.03642	0.01410	0.00922	0.96358	0.01410	0.00922	0.04662	0.02447	0.01214	-0.00914	0.01310	0.07676
welleri_IGG_FFS	welleri	IGG	FFS	41	286	284	58	20.27972	6.19930	2.55312	0.09448	0.95249	0.01281	0.00669	0.08270	0.04682	0.01279	0.91730	0.04682	0.01279	0.06498	0.02010	0.00838	0.93502	0.02010	0.00838	0.07059	0.02373	0.00911	-0.01563	0.04609	0.09448
cinereus_IGG_FFS	cinereus	IGG	FFS	35	274	272	69	25.18248	5.03285	2.34690	0.09255	0.93230	0.01974	0.00849	0.12908	0.07341	0.01637	0.87092	0.07341	0.01637	0.08690	0.02715	0.00995	0.91310	0.02715	0.00995	0.10410	0.04315	0.01255	-0.04831	0.03263	0.09255
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	0	303	298	49	16.17162	1.77888	0.17280	0.02388	0.93977	0.02140	0.00840	0.11056	0.07797	0.01604	0.88944	0.07797	0.01604	0.07054	0.02652	0.00935	0.92946	0.02652	0.00935	0.10066	0.05689	0.01370	-0.01485	0.02213	0.02388
cinereus_SG_FFS	cinereus	SG	FFS	2	69	69	10	14.49275	1.40580	0.24467	0.05955	0.95652	0.01279	0.01361	0.08696	0.05115	0.02723	0.91304	0.05115	0.02723	0.05797	0.02049	0.01723	0.94203	0.02049	0.01723	0.07729	0.03642	0.02297	-0.01449	0.00714	0.05955
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	0	284	279	46	16.19718	2.92958	1.27418	0.06698	0.94938	0.01673	0.00768	0.09654	0.06473	0.01510	0.90346	0.06473	0.01510	0.06276	0.02249	0.00890	0.93724	0.02249	0.00890	0.07903	0.03840	0.01163	-0.03034	0.02674	0.06698
montanus_SG_Fresh	montanus	SG	Fresh	2	308	303	66	21.42857	3.99351	0.00647	0.00458	0.93087	0.02314	0.00867	0.13826	0.09254	0.01733	0.86174	0.09254	0.01733	0.08258	0.02832	0.00959	0.91742	0.02832	0.00959	0.09452	0.03711	0.01098	-0.07846	0.04527	0.00458
yonahlossee_SG_FFS	yonahlossee	SG	FFS	2	308	303	62	20.12987	2.17857	0.21231	0.02625	0.91775	0.02978	0.00983	0.16126	0.11692	0.01948	0.83874	0.11692	0.01948	0.09161	0.03422	0.01054	0.90839	0.03422	0.01054	0.11977	0.05864	0.01380	-0.06434	0.03412	0.02625
montanus_IGG_Fresh	montanus	IGG	Fresh	3	308	303	66	21.42857	4.39286	0.44777	0.03813	0.92440	0.02532	0.00907	0.14632	0.09783	0.01782	0.85368	0.09783	0.01782	0.08929	0.03195	0.01018	0.91071	0.03195	0.01018	0.10051	0.04056	0.01148	-0.08385	0.05357	0.03813
yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	0	308	303	70	22.72727	4.19481	0.48310	0.03960	0.92486	0.02416	0.00886	0.14865	0.09548	0.01761	0.85135	0.09548	0.01761	0.09082	0.03107	0.01004	0.90918	0.03107	0.01004	0.10292	0.03984	0.01137	-0.08396	0.04753	0.03960
yonahlossee_IGG_Blood	yonahlossee	IGG	Blood	1	308	303	83	26.94805	7.71429	0.25686	0.02888	0.91575	0.02569	0.00913	0.16665	0.10072	0.01808	0.83335	0.10072	0.01808	0.10309	0.03409	0.01052	0.89691	0.03409	0.01052	0.11008	0.03886	0.01123	-0.11254	0.06120	0.02888
glutinosus_SG_Blood	glutinosus	SG	Blood	1	300	295	68	22.66667	1.57333	0.24544	0.02860	0.90750	0.03259	0.01042	0.18167	0.12826	0.02068	0.81833	0.12826	0.02068	0.10292	0.03708	0.01112	0.89708	0.03708	0.01112	0.15944	0.09647	0.01793	-0.03333	0.02062	0.02860
