Organism	Locality	Age	SampleID
yonahlossee	IGG	Blood	72336
yonahlossee	IGG	Blood	67852
cylindraceus	IGG	Blood	74132
yonahlossee	SG	Fresh	66804
yonahlossee	IGG	Blood	72334
yonahlossee	IGG	Blood	72333
cinereus	IGG	Blood	64117
yonahlossee	IGG	Blood	75650
cinereus	IGG	Blood	64114
glutinosus	SG	Blood	66874
glutinosus	SG	Blood	66887
cinereus	IGG	Blood	64119
glutinosus	SG	Blood	66872
cylindraceus	IGG	Blood	74130
glutinosus	SG	Blood	66873
yonahlossee	IGG	Blood	72339
yonahlossee	IGG	Blood	72338
yonahlossee	IGG	Blood	72337
glutinosus	SG	Blood	66875
yonahlossee	SG	Blood	66799
yonahlossee	IGG	Blood	72331
yonahlossee	IGG	Blood	72332
cinereus	IGG	Blood	64115
glutinosus	SG	Blood	66877
glutinosus	SG	Blood	66889
cylindraceus	IGG	Blood	74131
glutinosus	SG	Blood	66888
yonahlossee	SG	Blood	66802
glutinosus	SG	Blood	66886
cinereus	IGG	Blood	64116
yonahlossee	SG	Blood	66801
glutinosus	SG	Blood	66885
yonahlossee	SG	Blood	66808
yonahlossee	SG	Blood	66800
yonahlossee	SG	Blood	66806
yonahlossee	SG	Blood	66809
cinereus	IGG	Blood	64111
yonahlossee	SG	Blood	66810
yonahlossee	SG	Fresh	RCB1060
yonahlossee	IGG	Fresh	RCB1030
71243	yonahlossee-exclude	SG	Blood
cinereus	IGG	Blood	64118
yonahlossee	SG	Blood	66803
cylindraceus	IGG	FFS	461362
cylindraceus	IGG	FFS	461338
cylindraceus	IGG	FFS	461336
cylindraceus	IGG	FFS	461342
cylindraceus	IGG	FFS	461361
cylindraceus	IGG	FFS	461362
cylindraceus	IGG	FFS	461338
welleri	IGG	Fresh	KAO210
cinereus	IGG	Fresh	KAO211
welleri	IGG	Fresh	KAO212
cinereus	IGG	Fresh	KAO216
welleri	IGG	Fresh	KAO213
cinereus	IGG	Fresh	KAO214
welleri	IGG	Fresh	KAO215
cinereus	IGG	Fresh	KAO217
cinereus	IGG	Fresh	KAO218
welleri	IGG	Fresh	KAO219
cinereus	IGG	Fresh	KAO220
welleri	IGG	Fresh	KAO221
welleri	IGG	Fresh	KAO222
welleri	IGG	Fresh	KAO223
welleri	IGG	Fresh	KAO224
welleri	IGG	Fresh	KAO228
cinereus	IGG	Fresh	KAO232
cinereus	IGG	Fresh	KAO233
cinereus	IGG	Fresh	KAO235
cinereus	IGG	Fresh	KAO236
cinereus	SG	Fresh	KAO238
cinereus	SG	Fresh	KAO239
cinereus	SG	Fresh	KAO240
cinereus	SG	Fresh	KAO241
cinereus	SG	Fresh	KAO242
cinereus	SG	Fresh	KAO243
cinereus	SG	Fresh	KAO253
cinereus	SG	Fresh	KAO254
cinereus	SG	Fresh	KAO255
cinereus	SG	Fresh	KAO256
montanus	SG	Fresh	KAO197
yonahlossee	IGG	Fresh	RCB1036
yonahlossee	IGG	Fresh	KAO205
yonahlossee	SG	Fresh	RCB1058
montanus	IGG	Fresh	RCB1020
glutinosus	SG	Fresh	RCB1067
montanus	SG	Fresh	RCB1047
glutinosus	SG	Fresh	RCB1056
yonahlossee	SG	Fresh	RCB1059
montanus	SG	Fresh	RCB1046
montanus	IGG	Fresh	KAO201
cylindraceus	IGG	Fresh	KAO210
montanus	SG	Fresh	KAO189
cylindraceus	IGG	Fresh	RCB1028
yonahlossee	IGG	Fresh	KAO207
montanus	IGG	Fresh	RCB1014
cylindraceus	IGG	Fresh	RCB1031
montanus	SG	Fresh	RCB1045
yonahlossee	IGG	Fresh	KAO204
montanus	IGG	Fresh	RCB1016
montanus	SG	Fresh	RCB1048
montanus	IGG	Fresh	RCB1017
montanus	SG	Fresh	RCB1011
montanus	IGG	Fresh	KAO200
cylindraceus	IGG	Fresh	RCB1033
yonahlossee	SG	Fresh	RCB1061
glutinosus	SG	Fresh	RCB1069
yonahlossee	SG	Fresh	RCB1064
yonahlossee	IGG	Fresh	KAO208
montanus	SG	Fresh	KAO199
glutinosus	SG	Fresh	RCB1068
cylindraceus	IGG	Fresh	RCB1024
yonahlossee	IGG	Fresh	RCB1035
yonahlossee	SG	Fresh	RCB1057
montanus	SG	Fresh	KAO196
glutinosus	SG	Fresh	RCB1053
cylindraceus	IGG	Fresh	RCB1032
cylindraceus	IGG	Fresh	RCB1029
montanus	IGG	Fresh	KAO209
cylindraceus	IGG	Fresh	RCB1025
montanus	SG	Fresh	KAO198
cylindraceus	IGG	Fresh	RCB1026
glutinosus	SG	Fresh	RCB1065
glutinosus	SG	Fresh	RCB1050
yonahlossee	IGG	Fresh	KAO206
yonahlossee	SG	Fresh	RCB1063
glutinosus	SG	Fresh	RCB1049
montanus	IGG	Fresh	RCB1013
yonahlossee	IGG	Fresh	RCB1034
montanus	IGG	Fresh	RCB1012
