Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	0	25	25	4	16.00000	1.36000	0.24000	0.09798	0.92000	0.03500	0.03742	0.16000	0.14000	0.07483	0.84000	0.14000	0.07483	0.08000	0.03500	0.03742	0.92000	0.03500	0.03742	0.16000	0.14000	0.07483	0.00000	0.00000	0.09798
glutinosus_SG_Fresh	glutinosus	SG	Fresh	0	33	33	5	15.15152	2.00000	0.00000	0.00000	0.95455	0.01349	0.02022	0.09091	0.05398	0.04044	0.90909	0.05398	0.04044	0.06061	0.02160	0.02559	0.93939	0.02160	0.02559	0.08081	0.03840	0.03411	-0.01515	0.00758	0.00000
yonahlossee_SG_Blood	yonahlossee	SG	Blood	0	33	33	5	15.15152	1.33333	0.22917	0.08333	0.92424	0.03314	0.03169	0.15152	0.13258	0.06338	0.84848	0.13258	0.06338	0.07576	0.03314	0.03169	0.92424	0.03314	0.03169	0.14141	0.11827	0.05986	-0.01515	0.00758	0.08333
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	0	6	6	0	0.00000	1.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
glutinosus_SG_FFS	glutinosus	SG	FFS	0	15	15	3	20.00000	2.06667	1.06667	0.26667	0.93333	0.02202	0.03832	0.13333	0.08810	0.07664	0.86667	0.08810	0.07664	0.08333	0.03051	0.04510	0.91667	0.03051	0.04510	0.13333	0.08810	0.07664	0.00000	0.00000	0.26667
welleri_IGG_FFS	welleri	IGG	FFS	7	33	33	4	12.12121	3.42424	0.56439	0.13078	0.97222	0.00593	0.01341	0.01010	0.00337	0.01010	0.98990	0.00337	0.01010	0.04251	0.01373	0.02040	0.95749	0.01373	0.02040	0.04906	0.01821	0.02349	0.09091	0.08523	0.13078
cinereus_IGG_FFS	cinereus	IGG	FFS	1	28	28	4	14.28571	3.75000	1.52778	0.23359	0.97113	0.00651	0.01525	0.01607	0.00353	0.01123	0.98393	0.00353	0.01123	0.04351	0.01353	0.02199	0.95649	0.01353	0.02199	0.05043	0.01850	0.02570	0.07143	0.06878	0.23359
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	0	29	29	1	3.44828	1.48276	0.25862	0.09443	0.99138	0.00216	0.00862	0.01724	0.00862	0.01724	0.98276	0.00862	0.01724	0.01293	0.00485	0.01293	0.98707	0.00485	0.01293	0.01724	0.00862	0.01724	0.00000	0.00000	0.09443
cinereus_SG_FFS	cinereus	SG	FFS	0	32	32	0	0.00000	3.65625	5.65222	0.42028	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.42028
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	0	30	30	2	6.66667	2.13333	0.67126	0.14958	0.97500	0.01013	0.01838	0.05000	0.04052	0.03675	0.95000	0.04052	0.03675	0.02917	0.01259	0.02049	0.97083	0.01259	0.02049	0.03889	0.02238	0.02731	-0.01667	0.00833	0.14958
montanus_SG_Fresh	montanus	SG	Fresh	0	33	33	4	12.12121	1.96970	0.03030	0.03030	0.95455	0.01740	0.02296	0.09091	0.06960	0.04593	0.90909	0.06960	0.04593	0.05303	0.02151	0.02553	0.94697	0.02151	0.02553	0.07071	0.03825	0.03404	-0.03030	0.01468	0.03030
yonahlossee_SG_FFS	yonahlossee	SG	FFS	0	33	33	5	15.15152	2.48485	0.63258	0.13845	0.93182	0.02841	0.02934	0.10606	0.08996	0.05221	0.89394	0.08996	0.05221	0.07197	0.03030	0.03030	0.92803	0.03030	0.03030	0.09596	0.05387	0.04040	-0.01515	0.05445	0.13845
montanus_IGG_Fresh	montanus	IGG	Fresh	0	33	33	3	9.09091	2.00000	0.00000	0.00000	0.96212	0.01610	0.02209	0.07576	0.06439	0.04417	0.92424	0.06439	0.04417	0.04167	0.01823	0.02350	0.95833	0.01823	0.02350	0.05556	0.03241	0.03134	-0.03030	0.01468	0.00000
yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	0	33	33	5	15.15152	5.06061	0.62121	0.13720	0.93182	0.02841	0.02934	0.13636	0.11364	0.05868	0.86364	0.11364	0.05868	0.07197	0.03030	0.03030	0.92803	0.03030	0.03030	0.07910	0.03648	0.03325	-0.10606	0.07607	0.13720
yonahlossee_IGG_Blood	yonahlossee	IGG	Blood	0	33	33	5	15.15152	2.00000	0.00000	0.00000	0.93182	0.02841	0.02934	0.13636	0.11364	0.05868	0.86364	0.11364	0.05868	0.07197	0.03030	0.03030	0.92803	0.03030	0.03030	0.09596	0.05387	0.04040	-0.06061	0.02746	0.00000
glutinosus_SG_Blood	glutinosus	SG	Blood	0	33	33	6	18.18182	2.06061	0.18371	0.07461	0.95455	0.00959	0.01705	0.09091	0.03835	0.03409	0.90909	0.03835	0.03409	0.06818	0.02157	0.02557	0.93182	0.02157	0.02557	0.09091	0.03835	0.03409	0.00000	0.00000	0.07461
montanus_SG_FFS	montanus	SG	FFS	0	30	30	1	3.33333	1.23333	0.18506	0.07854	0.98333	0.00833	0.01667	0.03333	0.03333	0.03333	0.96667	0.03333	0.03333	0.01667	0.00833	0.01667	0.98333	0.00833	0.01667	0.03333	0.03333	0.03333	0.00000	0.00000	0.07854
montanus_IGG_FFS	montanus	IGG	FFS	1	26	26	3	11.53846	2.07692	1.27385	0.22135	0.95192	0.02010	0.02780	0.09615	0.08038	0.05560	0.90385	0.08038	0.05560	0.05288	0.02272	0.02956	0.94712	0.02272	0.02956	0.09615	0.08038	0.05560	0.00000	0.00000	0.22135
cinereus_IGG_Blood	cinereus	IGG	Blood	1	21	21	2	9.52381	1.00000	0.00000	0.00000	0.95238	0.02262	0.03282	0.09524	0.09048	0.06564	0.90476	0.09048	0.06564	0.04762	0.02262	0.03282	0.95238	0.02262	0.03282	0.09524	0.09048	0.06564	0.00000	0.00000	0.00000
yonahlossee_SG_Fresh	yonahlossee	SG	Fresh	0	33	33	4	12.12121	1.00000	0.00000	0.00000	0.93939	0.02746	0.02885	0.12121	0.10985	0.05770	0.87879	0.10985	0.05770	0.06061	0.02746	0.02885	0.93939	0.02746	0.02885	0.12121	0.10985	0.05770	0.00000	0.00000	0.00000
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	0	33	33	5	15.15152	4.24242	1.06439	0.17959	0.93561	0.02551	0.02780	0.12879	0.10204	0.05561	0.87121	0.10204	0.05561	0.07102	0.02950	0.02990	0.92898	0.02950	0.02990	0.08117	0.03853	0.03417	-0.08535	0.05109	0.17959
glutinosus_SG_Fresh	glutinosus	SG	Fresh	0	33	33	5	15.15152	2.00000	0.00000	0.00000	0.95455	0.01349	0.02022	0.09091	0.05398	0.04044	0.90909	0.05398	0.04044	0.06061	0.02160	0.02559	0.93939	0.02160	0.02559	0.08081	0.03840	0.03411	-0.01515	0.00758	0.00000
yonahlossee_SG_Blood	yonahlossee	SG	Blood	0	33	33	6	18.18182	2.09091	0.33523	0.10079	0.91667	0.03385	0.03203	0.16667	0.13542	0.06406	0.83333	0.13542	0.06406	0.08712	0.03563	0.03286	0.91288	0.03563	0.03286	0.12424	0.07606	0.04801	-0.06566	0.03288	0.10079
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	0	33	33	1	3.03030	1.00000	0.00000	0.00000	0.98485	0.00758	0.01515	0.03030	0.03030	0.03030	0.96970	0.03030	0.03030	0.01515	0.00758	0.01515	0.98485	0.00758	0.01515	0.03030	0.03030	0.03030	0.00000	0.00000	0.00000
glutinosus_SG_FFS	glutinosus	SG	FFS	0	12	12	0	0.00000	1.50000	0.63636	0.23028	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.23028
welleri_IGG_FFS	welleri	IGG	FFS	6	33	33	5	15.15152	5.18182	1.21591	0.19195	0.97374	0.00401	0.01102	0.02222	0.00796	0.01553	0.97778	0.00796	0.01553	0.04337	0.01091	0.01818	0.95663	0.01091	0.01818	0.04842	0.01361	0.02031	0.08712	0.08641	0.19195
cinereus_IGG_FFS	cinereus	IGG	FFS	1	28	28	4	14.28571	7.35714	2.23810	0.28272	0.98207	0.00257	0.00959	0.03586	0.01030	0.01918	0.96414	0.01030	0.01918	0.03025	0.00699	0.01580	0.96975	0.00699	0.01580	0.03228	0.00796	0.01686	-0.01099	0.00163	0.28272
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	0	33	33	1	3.03030	2.36364	0.36364	0.10497	0.98990	0.00337	0.01010	0.02020	0.01347	0.02020	0.97980	0.01347	0.02020	0.01347	0.00599	0.01347	0.98653	0.00599	0.01347	0.01616	0.00862	0.01616	-0.00758	0.00189	0.10497
cinereus_SG_FFS	cinereus	SG	FFS	0	32	32	0	0.00000	2.84375	2.97480	0.30490	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.30490
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	0	30	30	2	6.66667	2.13333	0.67126	0.14958	0.97500	0.01013	0.01838	0.05000	0.04052	0.03675	0.95000	0.04052	0.03675	0.02917	0.01259	0.02049	0.97083	0.01259	0.02049	0.03889	0.02238	0.02731	-0.01667	0.00833	0.14958
montanus_SG_Fresh	montanus	SG	Fresh	0	33	33	5	15.15152	4.96970	0.03030	0.03030	0.96364	0.01114	0.01837	0.07273	0.04455	0.03674	0.92727	0.04455	0.03674	0.04848	0.01613	0.02211	0.95152	0.01613	0.02211	0.05387	0.01991	0.02456	-0.03669	0.02165	0.03030
yonahlossee_SG_FFS	yonahlossee	SG	FFS	0	6	6	0	0.00000	1.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
montanus_IGG_Fresh	montanus	IGG	Fresh	0	33	33	3	9.09091	3.30303	0.21780	0.08124	0.96970	0.00947	0.01694	0.06061	0.03788	0.03388	0.93939	0.03788	0.03388	0.04040	0.01684	0.02259	0.95960	0.01684	0.02259	0.04848	0.02424	0.02710	-0.02273	0.00533	0.08124
