Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	0	49	49	15	30.61224	5.20408	0.54082	0.10506	0.89320	0.03285	0.02589	0.20000	0.11861	0.04920	0.80000	0.11861	0.04920	0.12644	0.04221	0.02935	0.87356	0.04221	0.02935	0.13882	0.05091	0.03223	-0.11406	0.06191	0.10506
glutinosus_SG_Fresh	glutinosus	SG	Fresh	2	49	49	19	38.77551	2.00000	0.00000	0.00000	0.84184	0.04608	0.03067	0.31633	0.18431	0.06133	0.68367	0.18431	0.06133	0.17602	0.05138	0.03238	0.82398	0.05138	0.03238	0.23469	0.09134	0.04318	-0.12245	0.04719	0.00000
yonahlossee_SG_Blood	yonahlossee	SG	Blood	0	49	49	11	22.44898	2.71429	0.20833	0.06521	0.92347	0.02368	0.02198	0.12585	0.06543	0.03654	0.87415	0.06543	0.03654	0.09495	0.03314	0.02601	0.90505	0.03314	0.02601	0.11497	0.04848	0.03145	-0.02098	0.02355	0.06521
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	0	49	49	12	24.48980	1.40816	0.24660	0.07094	0.88776	0.04183	0.02922	0.22449	0.16730	0.05843	0.77551	0.16730	0.05843	0.11735	0.04389	0.02993	0.88265	0.04389	0.02993	0.19728	0.13272	0.05204	-0.04082	0.01913	0.07094
glutinosus_SG_FFS	glutinosus	SG	FFS	0	21	21	5	23.80952	1.14286	0.12857	0.07825	0.90476	0.03423	0.04037	0.19048	0.13690	0.08074	0.80952	0.13690	0.08074	0.10714	0.03951	0.04337	0.89286	0.03951	0.04337	0.19048	0.13690	0.08074	0.00000	0.00000	0.07825
welleri_IGG_FFS	welleri	IGG	FFS	5	32	32	5	15.62500	3.78125	0.17641	0.07425	0.95312	0.01352	0.02056	0.09375	0.05410	0.04112	0.90625	0.05410	0.04112	0.06315	0.02363	0.02717	0.93685	0.02363	0.02717	0.07455	0.03306	0.03214	-0.03594	0.00988	0.07425
cinereus_IGG_FFS	cinereus	IGG	FFS	0	14	14	0	0.00000	5.50000	2.88462	0.45392	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.45392
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	0	49	49	12	24.48980	1.61224	0.24235	0.07033	0.90816	0.03045	0.02493	0.18367	0.12181	0.04986	0.81633	0.12181	0.04986	0.10714	0.03711	0.02752	0.89286	0.03711	0.02752	0.16327	0.09432	0.04387	-0.03061	0.01467	0.07033
cinereus_SG_FFS	cinereus	SG	FFS	3	25	25	1	4.00000	2.52000	1.09333	0.20913	0.99333	0.00111	0.00667	0.01333	0.00444	0.01333	0.98667	0.00444	0.01333	0.01111	0.00309	0.01111	0.98889	0.00309	0.01111	0.01333	0.00444	0.01333	0.00000	0.00000	0.20913
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	0	49	49	13	26.53061	1.59184	0.24660	0.07094	0.87245	0.04719	0.03103	0.25510	0.18878	0.06207	0.74490	0.18878	0.06207	0.13010	0.04815	0.03135	0.86990	0.04815	0.03135	0.21429	0.13889	0.05324	-0.06122	0.02742	0.07094
montanus_SG_Fresh	montanus	SG	Fresh	0	49	49	14	28.57143	4.00000	0.00000	0.00000	0.86990	0.04620	0.03071	0.26020	0.18479	0.06141	0.73980	0.18479	0.06141	0.13584	0.04861	0.03150	0.86416	0.04861	0.03150	0.15525	0.06349	0.03599	-0.18469	0.10075	0.00000
yonahlossee_SG_FFS	yonahlossee	SG	FFS	0	49	49	15	30.61224	2.32653	0.39116	0.08935	0.89558	0.02949	0.02453	0.20884	0.11795	0.04906	0.79116	0.11795	0.04906	0.12926	0.03986	0.02852	0.87074	0.03986	0.02852	0.16848	0.06826	0.03732	-0.06378	0.02482	0.08935
montanus_IGG_Fresh	montanus	IGG	Fresh	0	49	49	7	14.28571	1.79592	0.16582	0.05817	0.94388	0.02152	0.02096	0.11224	0.08610	0.04192	0.88776	0.08610	0.04192	0.06378	0.02547	0.02280	0.93622	0.02547	0.02280	0.08503	0.04528	0.03040	-0.04082	0.01913	0.05817
yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	0	49	49	16	32.65306	5.30612	0.25850	0.07263	0.88435	0.03598	0.02710	0.23129	0.14391	0.05419	0.76871	0.14391	0.05419	0.13406	0.04265	0.02950	0.86594	0.04265	0.02950	0.14818	0.05206	0.03260	-0.15537	0.08575	0.07263
yonahlossee_IGG_Blood	yonahlossee	IGG	Blood	0	49	49	22	44.89796	8.53061	1.25425	0.15999	0.86184	0.03647	0.02728	0.26271	0.13074	0.05165	0.73729	0.13074	0.05165	0.16669	0.04489	0.03027	0.83331	0.04489	0.03027	0.17681	0.05038	0.03206	-0.17161	0.08161	0.15999
glutinosus_SG_Blood	glutinosus	SG	Blood	0	49	49	14	28.57143	2.61224	0.24235	0.07033	0.89116	0.03507	0.02675	0.19048	0.11458	0.04836	0.80952	0.11458	0.04836	0.12528	0.04186	0.02923	0.87472	0.04186	0.02923	0.15374	0.06295	0.03584	-0.06179	0.05048	0.07033
