Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	8	26846	26186	2955	11.00723	3.18550	0.33959	0.00356	0.96302	0.01310	0.00070	0.06985	0.04849	0.00134	0.93015	0.04849	0.00134	0.04502	0.01746	0.00081	0.95498	0.01746	0.00081	0.05318	0.02446	0.00095	-0.02935	0.02040	0.00356
glutinosus_SG_Fresh	glutinosus	SG	Fresh	45	26843	26183	4239	15.79183	1.99877	0.00123	0.00021	0.94284	0.01986	0.00086	0.10604	0.07300	0.00165	0.89396	0.07300	0.00165	0.06806	0.02531	0.00097	0.93194	0.02531	0.00097	0.09077	0.04503	0.00130	-0.02291	0.02334	0.00021
yonahlossee_SG_Blood	yonahlossee	SG	Blood	9	26796	26139	2907	10.84863	2.87584	0.13211	0.00222	0.96253	0.01349	0.00071	0.07062	0.04994	0.00137	0.92938	0.04994	0.00137	0.04515	0.01765	0.00081	0.95485	0.01765	0.00081	0.05470	0.02603	0.00099	-0.02719	0.01989	0.00222
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	5	26831	26171	2119	7.89758	1.29798	0.20919	0.00279	0.96530	0.01495	0.00075	0.06906	0.05951	0.00149	0.93094	0.05951	0.00149	0.03709	0.01627	0.00078	0.96291	0.01627	0.00078	0.06198	0.04841	0.00134	-0.01062	0.00570	0.00279
glutinosus_SG_FFS	glutinosus	SG	FFS	21	19160	18777	2360	12.31733	2.78486	3.05784	0.01263	0.96348	0.01208	0.00079	0.06007	0.03752	0.00140	0.93993	0.03752	0.00140	0.04620	0.01681	0.00094	0.95380	0.01681	0.00094	0.06136	0.03340	0.00132	0.00211	0.01798	0.01263
welleri_IGG_FFS	welleri	IGG	FFS	3878	24176	23918	1799	7.44126	1.05948	0.05594	0.00152	0.96361	0.01667	0.00083	0.07203	0.06603	0.00165	0.92797	0.06603	0.00165	0.03680	0.01689	0.00084	0.96320	0.01689	0.00084	0.07213	0.06568	0.00165	0.00014	0.00104	0.00152
cinereus_IGG_FFS	cinereus	IGG	FFS	60	25223	24623	2532	10.03846	1.85739	0.12228	0.00220	0.96302	0.01382	0.00074	0.07166	0.05332	0.00145	0.92834	0.05332	0.00145	0.04359	0.01742	0.00083	0.95641	0.01742	0.00083	0.06146	0.03614	0.00120	-0.01530	0.01087	0.00220
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	33	26834	26174	2503	9.32772	1.95006	0.04744	0.00133	0.96369	0.01425	0.00073	0.07053	0.05522	0.00143	0.92947	0.05522	0.00143	0.04147	0.01708	0.00080	0.95853	0.01708	0.00080	0.05604	0.03152	0.00108	-0.02173	0.01352	0.00133
cinereus_SG_FFS	cinereus	SG	FFS	536	25691	25084	2981	11.60329	4.20661	2.57078	0.01000	0.96666	0.01107	0.00066	0.06171	0.03964	0.00124	0.93829	0.03964	0.00124	0.04233	0.01544	0.00078	0.95767	0.01544	0.00078	0.04998	0.02240	0.00093	-0.02154	0.01873	0.01000
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	48	25919	25299	2794	10.77974	3.33338	0.90718	0.00592	0.96602	0.01186	0.00068	0.06559	0.04522	0.00132	0.93441	0.04522	0.00132	0.04194	0.01587	0.00078	0.95806	0.01587	0.00078	0.05097	0.02448	0.00097	-0.02602	0.01759	0.00592
montanus_SG_Fresh	montanus	SG	Fresh	340	26845	26185	4054	15.10151	4.97150	0.04058	0.00123	0.95645	0.01454	0.00074	0.08207	0.05348	0.00141	0.91793	0.05348	0.00141	0.05423	0.01929	0.00085	0.94577	0.01929	0.00085	0.06036	0.02395	0.00094	-0.04044	0.02997	0.00123
yonahlossee_SG_FFS	yonahlossee	SG	FFS	6	26846	26186	2590	9.64762	2.19679	0.20366	0.00275	0.96226	0.01488	0.00074	0.07307	0.05746	0.00146	0.92693	0.05746	0.00146	0.04287	0.01768	0.00081	0.95713	0.01768	0.00081	0.05627	0.03061	0.00107	-0.02569	0.01568	0.00275
montanus_IGG_Fresh	montanus	IGG	Fresh	56	26843	26183	3690	13.74660	5.12350	0.54257	0.00450	0.95732	0.01438	0.00073	0.07707	0.04991	0.00136	0.92293	0.04991	0.00136	0.05295	0.01966	0.00086	0.94705	0.01966	0.00086	0.05868	0.02413	0.00095	-0.03456	0.02944	0.00450
yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	36	26846	26186	3031	11.29032	4.72238	0.74181	0.00526	0.96313	0.01314	0.00070	0.07021	0.04914	0.00135	0.92979	0.04914	0.00135	0.04475	0.01732	0.00080	0.95525	0.01732	0.00080	0.05036	0.02197	0.00090	-0.03651	0.02490	0.00526
yonahlossee_IGG_Blood	yonahlossee	IGG	Blood	59	26846	26186	5288	19.69753	5.77147	0.27674	0.00321	0.95419	0.01349	0.00071	0.08702	0.04948	0.00136	0.91298	0.04948	0.00136	0.06044	0.01909	0.00084	0.93956	0.01909	0.00084	0.06614	0.02285	0.00092	-0.04039	0.02722	0.00321
glutinosus_SG_Blood	glutinosus	SG	Blood	112	26846	26186	5561	20.71445	4.02272	0.43107	0.00401	0.94458	0.01549	0.00076	0.09234	0.04628	0.00131	0.90766	0.04628	0.00131	0.07372	0.02356	0.00094	0.92628	0.02356	0.00094	0.08430	0.03091	0.00107	-0.01449	0.02883	0.00401
montanus_SG_FFS	montanus	SG	FFS	5	12948	12732	809	6.24807	1.26977	0.19701	0.00390	0.97281	0.01184	0.00096	0.05259	0.04578	0.00188	0.94741	0.04578	0.00188	0.02921	0.01299	0.00100	0.97079	0.01299	0.00100	0.05059	0.04145	0.00179	-0.00301	0.00416	0.00390
montanus_IGG_FFS	montanus	IGG	FFS	20	25827	25207	3397	13.15290	4.61281	3.47394	0.01160	0.96258	0.01222	0.00069	0.06869	0.04327	0.00129	0.93131	0.04327	0.00129	0.04760	0.01713	0.00081	0.95240	0.01713	0.00081	0.05645	0.02583	0.00100	-0.02324	0.02029	0.01160
cinereus_IGG_Blood	cinereus	IGG	Blood	285	26431	25791	3571	13.51065	3.48708	1.05718	0.00632	0.96417	0.01057	0.00063	0.06028	0.03258	0.00111	0.93972	0.03258	0.00111	0.04796	0.01637	0.00079	0.95204	0.01637	0.00079	0.05702	0.02375	0.00095	-0.00559	0.01877	0.00632
yonahlossee_SG_Fresh	yonahlossee	SG	Fresh	4	26808	26151	2478	9.24351	1.34714	0.22664	0.00291	0.96188	0.01559	0.00076	0.07483	0.06114	0.00151	0.92517	0.06114	0.00151	0.04217	0.01779	0.00081	0.95783	0.01779	0.00081	0.06987	0.05264	0.00140	-0.00744	0.00579	0.00291
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	10	26846	26703	3321	12.37056	4.07834	0.51184	0.00437	0.96024	0.01366	0.00071	0.07561	0.05095	0.00138	0.92439	0.05095	0.00138	0.04902	0.01859	0.00083	0.95098	0.01859	0.00083	0.05568	0.02399	0.00095	-0.03664	0.02450	0.00437
glutinosus_SG_Fresh	glutinosus	SG	Fresh	152	26843	26700	4239	15.79183	1.99877	0.00123	0.00021	0.94284	0.01986	0.00086	0.10604	0.07300	0.00165	0.89396	0.07300	0.00165	0.06806	0.02531	0.00097	0.93194	0.02531	0.00097	0.09077	0.04503	0.00130	-0.02291	0.02334	0.00021
yonahlossee_SG_Blood	yonahlossee	SG	Blood	3	26764	26621	2661	9.94246	1.97007	0.02903	0.00104	0.96164	0.01487	0.00075	0.07419	0.05733	0.00146	0.92581	0.05733	0.00146	0.04404	0.01795	0.00082	0.95596	0.01795	0.00082	0.05904	0.03242	0.00110	-0.02272	0.01465	0.00104
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	6	26830	26687	1979	7.37607	1.28975	0.20580	0.00277	0.96946	0.01276	0.00069	0.05822	0.04849	0.00134	0.94178	0.04849	0.00134	0.03371	0.01453	0.00074	0.96629	0.01453	0.00074	0.05771	0.04579	0.00131	-0.00076	0.00469	0.00277
glutinosus_SG_FFS	glutinosus	SG	FFS	36	19701	19622	2512	12.75062	2.72707	2.12972	0.01040	0.96228	0.01222	0.00079	0.06352	0.03924	0.00141	0.93648	0.03924	0.00141	0.04815	0.01737	0.00094	0.95185	0.01737	0.00094	0.06313	0.03329	0.00130	-0.00075	0.01819	0.01040
welleri_IGG_FFS	welleri	IGG	FFS	4414	26126	26013	3178	12.16413	3.89600	0.55673	0.00462	0.96327	0.01263	0.00070	0.06997	0.04777	0.00135	0.93003	0.04777	0.00135	0.04550	0.01670	0.00080	0.95450	0.01670	0.00080	0.05309	0.02311	0.00094	-0.02986	0.02396	0.00462
cinereus_IGG_FFS	cinereus	IGG	FFS	127	25918	25785	4773	18.41577	7.98800	3.46465	0.01156	0.96122	0.01103	0.00065	0.07070	0.03785	0.00121	0.92930	0.03785	0.00121	0.05249	0.01641	0.00080	0.94751	0.01641	0.00080	0.05690	0.01966	0.00087	-0.02806	0.02304	0.01156
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	44	26834	26691	2749	10.24447	2.62823	0.30721	0.00338	0.96491	0.01256	0.00068	0.06641	0.04686	0.00132	0.93359	0.04686	0.00132	0.04259	0.01667	0.00079	0.95741	0.01667	0.00079	0.05291	0.02615	0.00099	-0.02278	0.01688	0.00338
cinereus_SG_FFS	cinereus	SG	FFS	313	25876	25743	2730	10.55032	3.21889	0.82436	0.00564	0.96689	0.01149	0.00067	0.06245	0.04239	0.00128	0.93755	0.04239	0.00128	0.04105	0.01548	0.00077	0.95895	0.01548	0.00077	0.04981	0.02325	0.00095	-0.02200	0.01736	0.00564
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	22	25497	25369	2467	9.67565	2.55383	0.45797	0.00424	0.96644	0.01235	0.00070	0.06513	0.04766	0.00137	0.93487	0.04766	0.00137	0.04015	0.01584	0.00079	0.95985	0.01584	0.00079	0.05179	0.02764	0.00104	-0.02234	0.01493	0.00424
montanus_SG_Fresh	montanus	SG	Fresh	104	26842	26699	3094	11.52671	2.97351	0.02892	0.00104	0.95854	0.01536	0.00076	0.07859	0.05761	0.00146	0.92141	0.05761	0.00146	0.04875	0.01921	0.00085	0.95125	0.01921	0.00085	0.05876	0.02798	0.00102	-0.03357	0.02444	0.00104
yonahlossee_SG_FFS	yonahlossee	SG	FFS	6	26846	26703	2641	9.83759	2.55282	1.04245	0.00623	0.96343	0.01403	0.00072	0.07007	0.05344	0.00141	0.92993	0.05344	0.00141	0.04242	0.01720	0.00080	0.95758	0.01720	0.00080	0.05461	0.02882	0.00104	-0.02419	0.01579	0.00623
montanus_IGG_Fresh	montanus	IGG	Fresh	162	26708	26570	2452	9.18077	1.38854	0.23758	0.00298	0.96154	0.01589	0.00077	0.07442	0.06144	0.00152	0.92558	0.06144	0.00152	0.04218	0.01792	0.00082	0.95782	0.01792	0.00082	0.06975	0.05266	0.00140	-0.00700	0.00721	0.00298
yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	23	26838	26695	3082	11.48372	4.31116	0.47623	0.00421	0.96259	0.01330	0.00070	0.07145	0.04987	0.00136	0.92855	0.04987	0.00136	0.04542	0.01748	0.00081	0.95458	0.01748	0.00081	0.05174	0.02275	0.00092	-0.03598	0.02396	0.00421
yonahlossee_IGG_Blood	yonahlossee	IGG	Blood	37	26846	26703	5236	19.50384	5.38922	0.76595	0.00534	0.95508	0.01266	0.00069	0.08330	0.04418	0.00128	0.91670	0.04418	0.00128	0.06049	0.01886	0.00084	0.93951	0.01886	0.00084	0.06669	0.02290	0.00092	-0.03227	0.02303	0.00534
glutinosus_SG_Blood	glutinosus	SG	Blood	88	26831	26688	4221	15.73180	2.20227	0.19073	0.00267	0.94701	0.01753	0.00081	0.09413	0.06038	0.00150	0.90587	0.06038	0.00150	0.06531	0.02371	0.00094	0.93469	0.02371	0.00094	0.08523	0.04084	0.00123	-0.01365	0.02296	0.00267
montanus_SG_FFS	montanus	SG	FFS	70	26135	25997	3305	12.64588	5.02154	4.54660	0.01319	0.96599	0.01081	0.00064	0.06085	0.03699	0.00119	0.93915	0.03699	0.00119	0.04407	0.01567	0.00077	0.95593	0.01567	0.00077	0.05097	0.02203	0.00092	-0.01873	0.02021	0.01319
