Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	4	4203	4086	356	8.47014	2.91649	0.40830	0.00986	0.97108	0.01066	0.00159	0.05443	0.03983	0.00308	0.94557	0.03983	0.00308	0.03485	0.01392	0.00182	0.96515	0.01392	0.00182	0.04192	0.02025	0.00219	-0.02116	0.01734	0.00986
glutinosus_SG_Fresh	glutinosus	SG	Fresh	18	4201	4084	564	13.42537	1.99833	0.00166	0.00063	0.95287	0.01635	0.00197	0.08950	0.06151	0.00383	0.91050	0.06151	0.00383	0.05713	0.02156	0.00227	0.94287	0.02156	0.00227	0.07617	0.03832	0.00302	-0.02000	0.01674	0.00063
yonahlossee_SG_Blood	yonahlossee	SG	Blood	7	4200	4083	334	7.95238	2.80976	0.18076	0.00656	0.97143	0.01081	0.00160	0.05254	0.03862	0.00303	0.94746	0.03862	0.00303	0.03389	0.01389	0.00182	0.96611	0.01389	0.00182	0.04095	0.02035	0.00220	-0.01980	0.01619	0.00656
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	6	4201	4084	243	5.78434	1.17996	0.14761	0.00593	0.97382	0.01172	0.00167	0.05237	0.04690	0.00334	0.94763	0.04690	0.00334	0.02755	0.01251	0.00173	0.97245	0.01251	0.00173	0.04912	0.04181	0.00315	-0.00488	0.00242	0.00593
glutinosus_SG_FFS	glutinosus	SG	FFS	1	1545	1509	91	5.88997	1.33657	0.37240	0.01553	0.97762	0.00903	0.00242	0.03948	0.03125	0.00450	0.96052	0.03125	0.00450	0.02572	0.01092	0.00266	0.97428	0.01092	0.00266	0.04134	0.03098	0.00448	0.00272	0.00621	0.01553
welleri_IGG_FFS	welleri	IGG	FFS	677	3808	3744	344	9.03361	1.76996	0.19030	0.00707	0.96523	0.01358	0.00189	0.06780	0.05286	0.00373	0.93220	0.05286	0.00373	0.03998	0.01645	0.00208	0.96002	0.01645	0.00208	0.05804	0.03666	0.00310	-0.01462	0.00985	0.00707
cinereus_IGG_FFS	cinereus	IGG	FFS	99	4049	3940	663	16.37441	6.10052	3.54399	0.02959	0.96568	0.00928	0.00151	0.05876	0.02901	0.00268	0.94124	0.02901	0.00268	0.04772	0.01471	0.00191	0.95228	0.01471	0.00191	0.05258	0.01808	0.00211	-0.01173	0.02102	0.02959
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	6	4003	3893	239	5.97052	1.52860	0.24924	0.00789	0.97683	0.00938	0.00153	0.04459	0.03593	0.00300	0.95541	0.03593	0.00300	0.02651	0.01130	0.00168	0.97349	0.01130	0.00168	0.04009	0.02765	0.00263	-0.00674	0.00595	0.00789
cinereus_SG_FFS	cinereus	SG	FFS	31	2026	1987	157	7.74926	1.42744	0.24486	0.01099	0.96755	0.01361	0.00259	0.06392	0.05357	0.00514	0.93608	0.05357	0.00514	0.03560	0.01536	0.00275	0.96440	0.01536	0.00275	0.05734	0.04273	0.00459	-0.00987	0.00632	0.01099
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	4	2974	2903	185	6.22058	1.45461	0.24802	0.00913	0.97352	0.01139	0.00196	0.05128	0.04404	0.00385	0.94872	0.04404	0.00385	0.02879	0.01270	0.00207	0.97121	0.01270	0.00207	0.04668	0.03571	0.00347	-0.00689	0.00592	0.00913
montanus_SG_Fresh	montanus	SG	Fresh	22	4202	4085	350	8.32937	2.97906	0.02337	0.00236	0.97212	0.01017	0.00156	0.05021	0.03630	0.00294	0.94979	0.03630	0.00294	0.03387	0.01339	0.00179	0.96613	0.01339	0.00179	0.04071	0.01935	0.00215	-0.01575	0.01878	0.00236
yonahlossee_SG_FFS	yonahlossee	SG	FFS	0	4172	4057	217	5.20134	1.07047	0.09237	0.00471	0.97530	0.01144	0.00166	0.04916	0.04555	0.00330	0.95084	0.04555	0.00330	0.02530	0.01177	0.00168	0.97470	0.01177	0.00168	0.04890	0.04504	0.00329	-0.00042	0.00052	0.00471
montanus_IGG_Fresh	montanus	IGG	Fresh	32	4201	4084	428	10.18805	4.50107	0.40577	0.00983	0.96929	0.01054	0.00158	0.05436	0.03569	0.00291	0.94564	0.03569	0.00291	0.03846	0.01459	0.00186	0.96154	0.01459	0.00186	0.04346	0.01866	0.00211	-0.01947	0.02120	0.00983
yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	6	4179	4062	339	8.11199	2.84446	0.35062	0.00916	0.97213	0.01053	0.00159	0.05286	0.03952	0.00308	0.94714	0.03952	0.00308	0.03313	0.01325	0.00178	0.96687	0.01325	0.00178	0.04067	0.02033	0.00221	-0.02040	0.01611	0.00916
