Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	0	2227	2223	125	5.61293	1.98653	0.01330	0.00244	0.97890	0.00837	0.00194	0.04041	0.03183	0.00378	0.95959	0.03183	0.00378	0.02458	0.01039	0.00216	0.97542	0.01039	0.00216	0.03278	0.01847	0.00288	-0.01145	0.00829	0.00244
glutinosus_SG_Fresh	glutinosus	SG	Fresh	0	2229	2225	247	11.08120	1.99910	0.00090	0.00063	0.96254	0.01285	0.00240	0.06774	0.04523	0.00450	0.93226	0.04523	0.00450	0.04643	0.01770	0.00282	0.95357	0.01770	0.00282	0.06191	0.03147	0.00376	-0.00875	0.01507	0.00063
yonahlossee_SG_Blood	yonahlossee	SG	Blood	2	2195	2192	109	4.96583	1.79408	0.16359	0.00863	0.98178	0.00713	0.00180	0.03235	0.02471	0.00335	0.96765	0.02471	0.00335	0.02153	0.00907	0.00203	0.97847	0.00907	0.00203	0.02992	0.01807	0.00287	-0.00364	0.00796	0.00863
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	1	2227	2223	111	4.98428	1.31073	0.21427	0.00981	0.97979	0.00852	0.00196	0.03592	0.02993	0.00367	0.96408	0.02993	0.00367	0.02256	0.00989	0.00211	0.97744	0.00989	0.00211	0.03802	0.03028	0.00369	0.00314	0.00516	0.00981
glutinosus_SG_FFS	glutinosus	SG	FFS	0	1743	1741	128	7.34366	1.64314	0.22964	0.01148	0.97375	0.00982	0.00237	0.04791	0.03516	0.00449	0.95209	0.03516	0.00449	0.03148	0.01279	0.00271	0.96852	0.01279	0.00271	0.04905	0.03390	0.00441	0.00172	0.00602	0.01148
welleri_IGG_FFS	welleri	IGG	FFS	484	2200	2198	229	10.40909	4.07273	0.25301	0.01072	0.96875	0.01089	0.00223	0.05781	0.03872	0.00420	0.94219	0.03872	0.00420	0.03877	0.01446	0.00256	0.96123	0.01446	0.00256	0.04479	0.01953	0.00298	-0.02339	0.01884	0.01072
cinereus_IGG_FFS	cinereus	IGG	FFS	18	2194	2190	222	10.11851	2.93710	0.08268	0.00614	0.97117	0.00911	0.00204	0.05234	0.03170	0.00380	0.94766	0.03170	0.00380	0.03779	0.01361	0.00249	0.96221	0.01361	0.00249	0.04578	0.02012	0.00303	-0.01122	0.01336	0.00614
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	3	2228	2224	147	6.59785	2.88196	0.15624	0.00837	0.97883	0.00743	0.00183	0.03815	0.02529	0.00337	0.96185	0.02529	0.00337	0.02658	0.01055	0.00218	0.97342	0.01055	0.00218	0.03205	0.01535	0.00262	-0.01057	0.00964	0.00837
cinereus_SG_FFS	cinereus	SG	FFS	54	2195	2191	202	9.20273	3.84191	0.84327	0.01960	0.97428	0.00842	0.00196	0.04680	0.02895	0.00363	0.95320	0.02895	0.00363	0.03328	0.01217	0.00235	0.96672	0.01217	0.00235	0.03867	0.01644	0.00274	-0.01493	0.01344	0.01960
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	2	2190	2186	151	6.89498	2.75434	0.28133	0.01133	0.97831	0.00761	0.00186	0.04094	0.02840	0.00360	0.95906	0.02840	0.00360	0.02723	0.01061	0.00220	0.97277	0.01061	0.00220	0.03346	0.01614	0.00272	-0.01248	0.01090	0.01133
