Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	1	2222	2203	143	6.43564	3.89379	0.10308	0.00681	0.97986	0.00724	0.00181	0.03750	0.02640	0.00345	0.96250	0.02640	0.00345	0.02499	0.00992	0.00211	0.97501	0.00992	0.00211	0.02864	0.01303	0.00242	-0.01598	0.01314	0.00681
glutinosus_SG_Fresh	glutinosus	SG	Fresh	2	2222	2203	246	11.07111	1.99910	0.00090	0.00064	0.96276	0.01271	0.00239	0.06773	0.04505	0.00450	0.93227	0.04505	0.00450	0.04630	0.01762	0.00282	0.95370	0.01762	0.00282	0.06173	0.03132	0.00375	-0.00900	0.01455	0.00064
yonahlossee_SG_Blood	yonahlossee	SG	Blood	0	2204	2185	124	5.62613	2.68920	0.31598	0.01197	0.98189	0.00648	0.00172	0.03017	0.02018	0.00303	0.96983	0.02018	0.00303	0.02260	0.00905	0.00203	0.97740	0.00905	0.00203	0.02754	0.01347	0.00247	-0.00435	0.01081	0.01197
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	0	1031	1021	59	5.72260	1.30165	0.21086	0.01430	0.97696	0.00960	0.00305	0.03734	0.03040	0.00543	0.96266	0.03040	0.00543	0.02582	0.01121	0.00330	0.97418	0.01121	0.00330	0.04155	0.03126	0.00551	0.00630	0.00991	0.01430
glutinosus_SG_FFS	glutinosus	SG	FFS	2	2030	2013	236	11.62562	4.25961	4.86456	0.04895	0.97141	0.00861	0.00206	0.03916	0.01895	0.00306	0.96084	0.01895	0.00306	0.03834	0.01312	0.00254	0.96166	0.01312	0.00254	0.04553	0.01972	0.00312	0.01286	0.02000	0.04895
welleri_IGG_FFS	welleri	IGG	FFS	472	2194	2175	231	10.52871	4.08797	0.21159	0.00982	0.96910	0.01056	0.00219	0.05706	0.03828	0.00418	0.94294	0.03828	0.00418	0.03878	0.01428	0.00255	0.96122	0.01428	0.00255	0.04455	0.01896	0.00294	-0.02186	0.02119	0.00982
cinereus_IGG_FFS	cinereus	IGG	FFS	38	2196	2177	312	14.20765	6.75091	0.66822	0.01744	0.96985	0.00869	0.00199	0.05237	0.02665	0.00348	0.94763	0.02665	0.00348	0.04112	0.01308	0.00244	0.95888	0.01308	0.00244	0.04447	0.01532	0.00264	-0.01562	0.01586	0.01744
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	4	2121	2104	122	5.75200	1.70863	0.20657	0.00987	0.97937	0.00786	0.00192	0.03795	0.02839	0.00366	0.96205	0.02839	0.00366	0.02469	0.01022	0.00219	0.97531	0.01022	0.00219	0.03670	0.02419	0.00338	-0.00189	0.00589	0.00987
cinereus_SG_FFS	cinereus	SG	FFS	31	2088	2072	101	4.83716	1.26006	0.19252	0.00960	0.97833	0.00974	0.00216	0.04286	0.03853	0.00430	0.95714	0.03853	0.00430	0.02293	0.01047	0.00224	0.97707	0.01047	0.00224	0.03935	0.03264	0.00395	-0.00527	0.00333	0.00960
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	8	2203	2185	152	6.89968	2.75306	0.28686	0.01141	0.97696	0.00852	0.00197	0.04108	0.02880	0.00362	0.95892	0.02880	0.00362	0.02799	0.01118	0.00225	0.97201	0.01118	0.00225	0.03460	0.01732	0.00280	-0.01129	0.01212	0.01141
