Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	3	1295	1269	90	6.94981	3.93050	0.40475	0.01768	0.97912	0.00737	0.00239	0.03844	0.02566	0.00445	0.96156	0.02566	0.00445	0.02617	0.01008	0.00279	0.97383	0.01008	0.00279	0.02993	0.01318	0.00319	-0.01571	0.01204	0.01768
glutinosus_SG_Fresh	glutinosus	SG	Fresh	27	1295	1269	150	11.58301	1.99691	0.00308	0.00154	0.96023	0.01378	0.00326	0.07027	0.04722	0.00604	0.92973	0.04722	0.00604	0.04884	0.01865	0.00379	0.95116	0.01865	0.00379	0.06512	0.03315	0.00506	-0.00772	0.01771	0.00154
yonahlossee_SG_Blood	yonahlossee	SG	Blood	2	1295	1269	77	5.94595	2.82780	0.17357	0.01158	0.97844	0.00830	0.00253	0.03565	0.02580	0.00446	0.96435	0.02580	0.00446	0.02560	0.01078	0.00289	0.97440	0.01078	0.00289	0.03086	0.01569	0.00348	-0.00813	0.01406	0.01158
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	0	1294	1268	51	3.94127	1.17852	0.14676	0.01065	0.98242	0.00796	0.00248	0.03516	0.03183	0.00496	0.96484	0.03183	0.00496	0.01864	0.00858	0.00258	0.98136	0.00858	0.00258	0.03336	0.02894	0.00473	-0.00270	0.00135	0.01065
glutinosus_SG_FFS	glutinosus	SG	FFS	1	713	702	44	6.17111	2.09397	2.16953	0.05516	0.98049	0.00717	0.00317	0.03158	0.02151	0.00549	0.96842	0.02151	0.00549	0.02394	0.00957	0.00366	0.97606	0.00957	0.00366	0.03330	0.02094	0.00542	0.00347	0.00768	0.05516
welleri_IGG_FFS	welleri	IGG	FFS	209	1244	1226	106	8.52090	2.74357	0.38230	0.01753	0.97337	0.00926	0.00273	0.05017	0.03517	0.00532	0.94983	0.03517	0.00532	0.03333	0.01271	0.00320	0.96667	0.01271	0.00320	0.04152	0.02029	0.00404	-0.01421	0.01501	0.01753
cinereus_IGG_FFS	cinereus	IGG	FFS	22	1252	1229	214	17.09265	6.09744	1.92495	0.03921	0.96719	0.00814	0.00255	0.05618	0.02412	0.00439	0.94382	0.02412	0.00439	0.04720	0.01381	0.00332	0.95280	0.01381	0.00332	0.05188	0.01684	0.00367	-0.00957	0.01516	0.03921
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	3	1270	1244	82	6.45669	2.42835	0.39794	0.01770	0.98031	0.00652	0.00227	0.03675	0.02347	0.00430	0.96325	0.02347	0.00430	0.02557	0.00992	0.00279	0.97443	0.00992	0.00279	0.03265	0.01674	0.00363	-0.00689	0.00606	0.01770
cinereus_SG_FFS	cinereus	SG	FFS	13	958	943	60	6.26305	1.88622	1.09571	0.03382	0.97730	0.00883	0.00304	0.04332	0.03341	0.00591	0.95668	0.03341	0.00591	0.02674	0.01112	0.00341	0.97326	0.01112	0.00341	0.04059	0.02871	0.00547	-0.00482	0.00550	0.03382
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	0	1201	1178	74	6.16153	2.87427	1.04668	0.02952	0.98109	0.00661	0.00235	0.03657	0.02529	0.00459	0.96343	0.02529	0.00459	0.02389	0.00939	0.00280	0.97611	0.00939	0.00280	0.03033	0.01619	0.00367	-0.01121	0.00721	0.02952
