Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	51	31049	30774	3395	10.93433	3.17144	0.31810	0.00320	0.96272	0.01338	0.00066	0.07108	0.05034	0.00127	0.92892	0.05034	0.00127	0.04502	0.01757	0.00075	0.95498	0.01757	0.00075	0.05320	0.02459	0.00089	-0.03124	0.02134	0.00320
glutinosus_SG_Fresh	glutinosus	SG	Fresh	53	31041	30766	4506	14.51628	1.99836	0.00164	0.00023	0.94717	0.01868	0.00078	0.10011	0.07033	0.00151	0.89989	0.07033	0.00151	0.06270	0.02372	0.00087	0.93730	0.02372	0.00087	0.08366	0.04224	0.00117	-0.02468	0.02004	0.00023
yonahlossee_SG_Blood	yonahlossee	SG	Blood	51	30879	30605	3185	10.31445	2.67871	0.31244	0.00318	0.96599	0.01186	0.00062	0.06319	0.04285	0.00118	0.93681	0.04285	0.00118	0.04199	0.01618	0.00072	0.95801	0.01618	0.00072	0.05141	0.02450	0.00089	-0.02012	0.01637	0.00318
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	3	31032	30757	2362	7.61150	1.28200	0.20248	0.00255	0.96645	0.01452	0.00068	0.06680	0.05783	0.00137	0.93320	0.05783	0.00137	0.03580	0.01577	0.00071	0.96420	0.01577	0.00071	0.06024	0.04753	0.00124	-0.00984	0.00526	0.00255
glutinosus_SG_FFS	glutinosus	SG	FFS	14	16565	16475	1774	10.70933	1.63314	0.50372	0.00551	0.95951	0.01554	0.00097	0.07578	0.05779	0.00187	0.92422	0.05779	0.00187	0.04662	0.01874	0.00106	0.95338	0.01874	0.00106	0.07302	0.05058	0.00175	-0.00424	0.00975	0.00551
welleri_IGG_FFS	welleri	IGG	FFS	5180	29872	29704	3292	11.02035	2.89800	0.42383	0.00377	0.96353	0.01301	0.00066	0.06916	0.04883	0.00128	0.93084	0.04883	0.00128	0.04425	0.01688	0.00075	0.95575	0.01688	0.00075	0.05469	0.02648	0.00094	-0.02438	0.01954	0.00377
cinereus_IGG_FFS	cinereus	IGG	FFS	327	29952	29710	5257	17.55142	6.95519	3.04550	0.01008	0.96175	0.01095	0.00060	0.06920	0.03745	0.00112	0.93080	0.03745	0.00112	0.05169	0.01630	0.00074	0.94831	0.01630	0.00074	0.05677	0.02018	0.00082	-0.02467	0.02326	0.01008
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	54	31033	30758	3059	9.85725	2.60336	0.31699	0.00320	0.96616	0.01218	0.00063	0.06420	0.04558	0.00121	0.93580	0.04558	0.00121	0.04102	0.01614	0.00072	0.95898	0.01614	0.00072	0.05103	0.02536	0.00090	-0.02215	0.01618	0.00320
cinereus_SG_FFS	cinereus	SG	FFS	481	29912	29673	3240	10.83177	3.67642	1.58694	0.00728	0.96783	0.01083	0.00060	0.05958	0.03877	0.00114	0.94042	0.03877	0.00114	0.04062	0.01500	0.00071	0.95938	0.01500	0.00071	0.04824	0.02159	0.00085	-0.02038	0.01751	0.00728
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	28	28260	28036	2344	8.29441	1.66536	0.22266	0.00281	0.96706	0.01326	0.00068	0.06469	0.05197	0.00136	0.93531	0.05197	0.00136	0.03721	0.01562	0.00074	0.96279	0.01562	0.00074	0.05599	0.03773	0.00116	-0.01304	0.00815	0.00281
montanus_SG_Fresh	montanus	SG	Fresh	142	31047	30772	3658	11.78214	3.99124	0.01493	0.00069	0.95945	0.01492	0.00069	0.07555	0.05461	0.00133	0.92445	0.05461	0.00133	0.04798	0.01870	0.00078	0.95202	0.01870	0.00078	0.05497	0.02461	0.00089	-0.03670	0.02941	0.00069
yonahlossee_SG_FFS	yonahlossee	SG	FFS	1	4590	4569	171	3.72549	1.20501	0.16302	0.00596	0.98415	0.00698	0.00123	0.03017	0.02649	0.00240	0.96983	0.02649	0.00240	0.01724	0.00780	0.00130	0.98276	0.00780	0.00130	0.02988	0.02501	0.00233	-0.00044	0.00251	0.00596
montanus_IGG_Fresh	montanus	IGG	Fresh	203	31040	30766	3693	11.89755	2.99091	0.01016	0.00057	0.95801	0.01535	0.00070	0.07863	0.05677	0.00135	0.92137	0.05677	0.00135	0.04977	0.01938	0.00079	0.95023	0.01938	0.00079	0.05979	0.02798	0.00095	-0.03184	0.02533	0.00057
yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	27	31046	30771	2886	9.29588	2.36646	0.25363	0.00286	0.96513	0.01339	0.00066	0.06741	0.05165	0.00129	0.93259	0.05165	0.00129	0.04052	0.01656	0.00073	0.95948	0.01656	0.00073	0.05235	0.02793	0.00095	-0.02355	0.01461	0.00286
yonahlossee_IGG_Blood	yonahlossee	IGG	Blood	28	31043	30768	2934	9.45141	1.99965	0.00035	0.00011	0.96101	0.01591	0.00072	0.07588	0.06185	0.00141	0.92412	0.06185	0.00141	0.04312	0.01815	0.00076	0.95688	0.01815	0.00076	0.05750	0.03227	0.00102	-0.02757	0.01617	0.00011
glutinosus_SG_Blood	glutinosus	SG	Blood	237	31048	30773	6206	19.98841	5.07794	0.36014	0.00341	0.94704	0.01494	0.00069	0.08619	0.04276	0.00117	0.91381	0.04276	0.00117	0.07043	0.02288	0.00086	0.92957	0.02288	0.00086	0.07820	0.02825	0.00095	-0.01485	0.02923	0.00341
