Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	6	25110	24852	2721	10.83632	2.25344	0.29364	0.00342	0.96116	0.01425	0.00075	0.07457	0.05424	0.00147	0.92543	0.05424	0.00147	0.04615	0.01822	0.00085	0.95385	0.01822	0.00085	0.05923	0.03052	0.00110	-0.02468	0.01617	0.00342
glutinosus_SG_Fresh	glutinosus	SG	Fresh	99	24811	24562	3935	15.85990	1.85934	0.12088	0.00221	0.94068	0.02115	0.00092	0.11235	0.07975	0.00179	0.88765	0.07975	0.00179	0.06931	0.02611	0.00103	0.93069	0.02611	0.00103	0.09619	0.05199	0.00145	-0.02424	0.02097	0.00221
yonahlossee_SG_Blood	yonahlossee	SG	Blood	5	24230	23988	2204	9.09616	1.43252	0.24546	0.00318	0.96320	0.01488	0.00078	0.07171	0.05789	0.00155	0.92829	0.05789	0.00155	0.04114	0.01725	0.00084	0.95886	0.01725	0.00084	0.06475	0.04597	0.00138	-0.01044	0.00796	0.00318
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	4	11459	11371	1062	9.26782	1.27550	0.19962	0.00417	0.96239	0.01521	0.00115	0.07095	0.05719	0.00223	0.92905	0.05719	0.00223	0.04198	0.01759	0.00124	0.95802	0.01759	0.00124	0.07115	0.05465	0.00218	0.00031	0.00626	0.00417
glutinosus_SG_FFS	glutinosus	SG	FFS	7	16653	16504	1807	10.85090	1.98739	0.98447	0.00769	0.96354	0.01304	0.00088	0.06406	0.04472	0.00164	0.93594	0.04472	0.00164	0.04418	0.01699	0.00101	0.95582	0.01699	0.00101	0.06380	0.03961	0.00154	-0.00060	0.01354	0.00769
welleri_IGG_FFS	welleri	IGG	FFS	4220	24446	24243	2343	9.58439	2.08259	0.20103	0.00287	0.96368	0.01397	0.00076	0.07014	0.05391	0.00149	0.92986	0.05391	0.00149	0.04207	0.01713	0.00084	0.95793	0.01713	0.00084	0.05661	0.03164	0.00114	-0.02044	0.01394	0.00287
cinereus_IGG_FFS	cinereus	IGG	FFS	188	24451	24204	4151	16.97681	6.51920	1.33676	0.00739	0.96118	0.01140	0.00068	0.07143	0.03980	0.00128	0.92857	0.03980	0.00128	0.05184	0.01667	0.00083	0.94816	0.01667	0.00083	0.05666	0.02011	0.00091	-0.02932	0.02316	0.00739
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	90	25064	24806	2636	10.51708	2.60649	0.36994	0.00384	0.96430	0.01262	0.00071	0.06817	0.04772	0.00138	0.93183	0.04772	0.00138	0.04361	0.01698	0.00082	0.95639	0.01698	0.00082	0.05391	0.02636	0.00103	-0.02414	0.01689	0.00384
cinereus_SG_FFS	cinereus	SG	FFS	300	23276	23044	1976	8.48943	1.82987	0.42356	0.00427	0.96720	0.01300	0.00075	0.06403	0.05063	0.00147	0.93597	0.05063	0.00147	0.03746	0.01556	0.00082	0.96254	0.01556	0.00082	0.05541	0.03670	0.00126	-0.01349	0.00938	0.00427
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	50	23956	23717	2344	9.78461	2.54846	0.48611	0.00450	0.96623	0.01241	0.00072	0.06528	0.04756	0.00141	0.93472	0.04756	0.00141	0.04044	0.01591	0.00081	0.95956	0.01591	0.00081	0.05217	0.02786	0.00108	-0.02209	0.01497	0.00450
