Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	53	22773	22586	2997	13.16032	5.17824	0.44280	0.00441	0.95884	0.01401	0.00078	0.07790	0.05176	0.00151	0.92210	0.05176	0.00151	0.05091	0.01912	0.00092	0.94909	0.01912	0.00092	0.05622	0.02333	0.00101	-0.04122	0.02771	0.00441
glutinosus_SG_Fresh	glutinosus	SG	Fresh	126	22515	22331	3644	16.18477	1.86951	0.11347	0.00224	0.93978	0.02131	0.00097	0.11421	0.08046	0.00189	0.88579	0.08046	0.00189	0.07057	0.02642	0.00108	0.92943	0.02642	0.00108	0.09762	0.05217	0.00152	-0.02489	0.02116	0.00224
yonahlossee_SG_Blood	yonahlossee	SG	Blood	9	21989	21812	2043	9.29101	1.43895	0.24628	0.00335	0.96250	0.01510	0.00083	0.07299	0.05871	0.00163	0.92701	0.05871	0.00163	0.04198	0.01755	0.00089	0.95802	0.01755	0.00089	0.06582	0.04642	0.00145	-0.01076	0.00826	0.00335
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	35	22492	22305	1874	8.33185	1.25729	0.19110	0.00291	0.96490	0.01468	0.00081	0.06785	0.05669	0.00159	0.93215	0.05669	0.00159	0.03838	0.01649	0.00086	0.96162	0.01649	0.00086	0.06754	0.05464	0.00156	-0.00047	0.00377	0.00291
glutinosus_SG_FFS	glutinosus	SG	FFS	15	15302	15209	1647	10.76330	2.18939	1.49331	0.00988	0.96484	0.01244	0.00090	0.06069	0.04161	0.00165	0.93931	0.04161	0.00165	0.04296	0.01640	0.00104	0.95704	0.01640	0.00104	0.06090	0.03706	0.00156	0.00017	0.01393	0.00988
welleri_IGG_FFS	welleri	IGG	FFS	3903	22389	22220	2780	12.41681	3.99857	0.41951	0.00433	0.96205	0.01313	0.00077	0.07241	0.04984	0.00149	0.92759	0.04984	0.00149	0.04675	0.01722	0.00088	0.95325	0.01722	0.00088	0.05417	0.02341	0.00102	-0.03231	0.02557	0.00433
cinereus_IGG_FFS	cinereus	IGG	FFS	316	21933	21789	3019	13.76465	3.74778	0.41787	0.00436	0.96153	0.01229	0.00075	0.07190	0.04449	0.00142	0.92810	0.04449	0.00142	0.04940	0.01720	0.00089	0.95060	0.01720	0.00089	0.05770	0.02389	0.00104	-0.02559	0.02061	0.00436
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	40	21366	21198	2021	9.45895	1.72924	0.19746	0.00304	0.96520	0.01306	0.00078	0.06637	0.04947	0.00152	0.93363	0.04947	0.00152	0.04105	0.01650	0.00088	0.95895	0.01650	0.00088	0.05847	0.03514	0.00128	-0.01184	0.01063	0.00304
cinereus_SG_FFS	cinereus	SG	FFS	470	21904	21761	2643	12.06629	4.50100	2.88700	0.01148	0.96592	0.01127	0.00072	0.06328	0.04058	0.00136	0.93672	0.04058	0.00136	0.04330	0.01565	0.00085	0.95670	0.01565	0.00085	0.05084	0.02247	0.00101	-0.02315	0.02000	0.01148
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	40	21620	21453	1910	8.83441	1.84376	0.13184	0.00247	0.96566	0.01354	0.00079	0.06739	0.05302	0.00157	0.93261	0.05302	0.00157	0.03926	0.01625	0.00087	0.96074	0.01625	0.00087	0.05516	0.03328	0.00124	-0.01834	0.01078	0.00247
montanus_SG_Fresh	montanus	SG	Fresh	119	22700	22515	3146	13.85903	1.95573	0.04231	0.00137	0.94760	0.01923	0.00092	0.10313	0.07560	0.00182	0.89687	0.07560	0.00182	0.06085	0.02355	0.00102	0.93915	0.02355	0.00102	0.08181	0.04289	0.00137	-0.03198	0.01748	0.00137
yonahlossee_SG_FFS	yonahlossee	SG	FFS	9	22532	22345	1948	8.64548	1.42917	0.43948	0.00442	0.96288	0.01575	0.00084	0.07305	0.06197	0.00166	0.92695	0.06197	0.00166	0.04000	0.01728	0.00088	0.96000	0.01728	0.00088	0.07097	0.05826	0.00161	-0.00332	0.00335	0.00442
montanus_IGG_Fresh	montanus	IGG	Fresh	70	22758	22571	3260	14.32463	4.54245	0.44208	0.00441	0.95393	0.01581	0.00083	0.08544	0.05732	0.00159	0.91456	0.05732	0.00159	0.05627	0.02097	0.00096	0.94373	0.02097	0.00096	0.06341	0.02673	0.00108	-0.04062	0.03193	0.00441
yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	32	22685	22501	2362	10.41217	2.81561	0.76687	0.00581	0.96436	0.01280	0.00075	0.06860	0.04869	0.00147	0.93140	0.04869	0.00147	0.04315	0.01686	0.00086	0.95685	0.01686	0.00086	0.05497	0.02818	0.00111	-0.02245	0.01395	0.00581
yonahlossee_IGG_Blood	yonahlossee	IGG	Blood	21	22769	22582	3674	16.13597	1.98906	0.01082	0.00069	0.94376	0.01885	0.00091	0.11112	0.07433	0.00181	0.88888	0.07433	0.00181	0.06846	0.02496	0.00105	0.93154	0.02496	0.00105	0.09144	0.04461	0.00140	-0.02951	0.01593	0.00069
