Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	7	2334	2312	244	10.45416	3.82691	0.17577	0.00868	0.96501	0.01280	0.00234	0.06741	0.04886	0.00458	0.93259	0.04886	0.00458	0.04195	0.01639	0.00265	0.95805	0.01639	0.00265	0.04805	0.02149	0.00303	-0.03489	0.02436	0.00868
glutinosus_SG_Fresh	glutinosus	SG	Fresh	25	2333	2311	300	12.85898	1.95114	0.04650	0.00446	0.95349	0.01665	0.00267	0.09001	0.06415	0.00524	0.90999	0.06415	0.00524	0.05540	0.02130	0.00302	0.94460	0.02130	0.00302	0.07501	0.03961	0.00412	-0.02250	0.01525	0.00446
yonahlossee_SG_Blood	yonahlossee	SG	Blood	4	2317	2295	201	8.67501	2.26586	0.35416	0.01236	0.96903	0.01161	0.00224	0.05920	0.04376	0.00435	0.94080	0.04376	0.00435	0.03680	0.01484	0.00253	0.96320	0.01484	0.00253	0.04749	0.02532	0.00331	-0.01901	0.01288	0.01236
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	0	2293	2271	159	6.93415	1.25687	0.19097	0.00913	0.96893	0.01368	0.00244	0.06215	0.05471	0.00488	0.93785	0.05471	0.00488	0.03287	0.01469	0.00253	0.96713	0.01469	0.00253	0.05677	0.04638	0.00450	-0.00807	0.00397	0.00913
glutinosus_SG_FFS	glutinosus	SG	FFS	2	1157	1146	92	7.95160	1.67848	0.96228	0.02884	0.97182	0.01074	0.00305	0.04788	0.03576	0.00556	0.95212	0.03576	0.00556	0.03331	0.01352	0.00342	0.96669	0.01352	0.00342	0.05055	0.03486	0.00549	0.00432	0.01082	0.02884
welleri_IGG_FFS	welleri	IGG	FFS	421	2285	2265	329	14.39825	5.52079	1.00887	0.02101	0.95978	0.01349	0.00243	0.07643	0.04971	0.00466	0.92357	0.04971	0.00466	0.05024	0.01781	0.00279	0.94976	0.01781	0.00279	0.05540	0.02168	0.00308	-0.04025	0.02779	0.02101
cinereus_IGG_FFS	cinereus	IGG	FFS	36	2245	2226	313	13.94209	3.42227	0.67900	0.01739	0.96435	0.01055	0.00217	0.06626	0.03762	0.00409	0.93374	0.03762	0.00409	0.04767	0.01581	0.00265	0.95233	0.01581	0.00265	0.05715	0.02366	0.00325	-0.01655	0.01503	0.01739
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	3	2330	2308	205	8.79828	2.68670	0.29939	0.01134	0.96949	0.01123	0.00220	0.05887	0.04323	0.00431	0.94113	0.04323	0.00431	0.03670	0.01467	0.00251	0.96330	0.01467	0.00251	0.04474	0.02190	0.00307	-0.02394	0.01668	0.01134
cinereus_SG_FFS	cinereus	SG	FFS	49	2253	2232	272	12.07279	3.47137	1.08055	0.02190	0.96468	0.01161	0.00227	0.06240	0.03883	0.00415	0.93760	0.03883	0.00415	0.04493	0.01626	0.00269	0.95507	0.01626	0.00269	0.05386	0.02426	0.00328	-0.01510	0.01897	0.02190
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	1	2155	2136	189	8.77030	2.74617	1.13099	0.02291	0.97121	0.01050	0.00221	0.05480	0.04027	0.00432	0.94520	0.04027	0.00432	0.03494	0.01368	0.00252	0.96506	0.01368	0.00252	0.04551	0.02519	0.00342	-0.01559	0.01519	0.02291
