Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	1	2083	2075	144	6.91311	3.83149	0.19590	0.00970	0.97950	0.00710	0.00185	0.03741	0.02507	0.00347	0.96259	0.02507	0.00347	0.02597	0.01003	0.00219	0.97403	0.01003	0.00219	0.02999	0.01340	0.00254	-0.01320	0.01232	0.00970
glutinosus_SG_Fresh	glutinosus	SG	Fresh	9	2054	2047	238	11.58715	1.87342	0.11061	0.00734	0.95813	0.01517	0.00272	0.07546	0.05373	0.00511	0.92454	0.05373	0.00511	0.04990	0.01946	0.00308	0.95010	0.01946	0.00308	0.06897	0.03832	0.00432	-0.00974	0.01720	0.00734
yonahlossee_SG_Blood	yonahlossee	SG	Blood	0	2056	2049	114	5.54475	2.33512	0.37377	0.01348	0.98079	0.00729	0.00188	0.03470	0.02580	0.00354	0.96530	0.02580	0.00354	0.02312	0.00953	0.00215	0.97688	0.00953	0.00215	0.02993	0.01661	0.00284	-0.00778	0.00980	0.01348
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	1	2039	2031	108	5.29671	1.32614	0.21988	0.01038	0.97805	0.00936	0.00214	0.04389	0.03745	0.00429	0.95611	0.03745	0.00429	0.02422	0.01068	0.00229	0.97578	0.01068	0.00229	0.03883	0.02942	0.00380	-0.00760	0.00374	0.01038
glutinosus_SG_FFS	glutinosus	SG	FFS	3	1925	1919	242	12.57143	4.48727	5.21878	0.05207	0.96930	0.00895	0.00216	0.04598	0.02293	0.00345	0.95402	0.02293	0.00345	0.04162	0.01405	0.00270	0.95838	0.01405	0.00270	0.05013	0.02235	0.00341	0.00860	0.01760	0.05207
welleri_IGG_FFS	welleri	IGG	FFS	444	2058	2052	218	10.59281	3.94363	0.09697	0.00686	0.96967	0.01016	0.00222	0.05653	0.03653	0.00421	0.94347	0.03653	0.00421	0.03850	0.01401	0.00261	0.96150	0.01401	0.00261	0.04442	0.01868	0.00301	-0.02174	0.01727	0.00686
cinereus_IGG_FFS	cinereus	IGG	FFS	5	2053	2045	219	10.66732	2.94350	0.06893	0.00579	0.96935	0.00979	0.00218	0.05350	0.03140	0.00391	0.94650	0.03140	0.00391	0.03984	0.01430	0.00264	0.96016	0.01430	0.00264	0.04808	0.02085	0.00319	-0.00916	0.01387	0.00579
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	0	1987	1982	108	5.43533	1.85556	0.12364	0.00789	0.98012	0.00772	0.00197	0.03674	0.02811	0.00376	0.96326	0.02811	0.00376	0.02353	0.00985	0.00223	0.97647	0.00985	0.00223	0.03338	0.02073	0.00323	-0.00503	0.00702	0.00789
cinereus_SG_FFS	cinereus	SG	FFS	42	2061	2053	217	10.52887	5.45172	1.62352	0.02807	0.97495	0.00778	0.00194	0.04487	0.02565	0.00353	0.95513	0.02565	0.00353	0.03329	0.01142	0.00235	0.96671	0.01142	0.00235	0.03706	0.01420	0.00262	-0.01467	0.01391	0.02807
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	1	2081	2073	170	8.16915	3.78376	0.29072	0.01182	0.97663	0.00794	0.00195	0.04329	0.02826	0.00368	0.95671	0.02826	0.00368	0.02977	0.01112	0.00231	0.97023	0.01112	0.00231	0.03444	0.01490	0.00268	-0.01620	0.01316	0.01182
