Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
yonahlossee_IGG_Fresh	yonahlossee	IGG	Fresh	2	888	875	70	7.88288	3.93243	0.46894	0.02298	0.97460	0.00948	0.00327	0.04379	0.03039	0.00585	0.95621	0.03039	0.00585	0.03058	0.01223	0.00371	0.96942	0.01223	0.00371	0.03504	0.01611	0.00426	-0.01610	0.01656	0.02298
glutinosus_SG_Fresh	glutinosus	SG	Fresh	3	887	874	88	9.92108	1.95265	0.04516	0.00714	0.96674	0.01145	0.00359	0.06539	0.04482	0.00711	0.93461	0.04482	0.00711	0.04143	0.01595	0.00424	0.95857	0.01595	0.00424	0.05599	0.02953	0.00577	-0.01409	0.00855	0.00714
yonahlossee_SG_Blood	yonahlossee	SG	Blood	1	872	859	52	5.96330	1.99771	0.52812	0.02461	0.97812	0.00862	0.00314	0.03842	0.02955	0.00582	0.96158	0.02955	0.00582	0.02560	0.01075	0.00351	0.97440	0.01075	0.00351	0.03513	0.02170	0.00499	-0.00529	0.01066	0.02461
cylindraceus_IGG_Blood	cylindraceus	IGG	Blood	0	870	859	38	4.36782	1.19885	0.15949	0.01354	0.98075	0.00862	0.00315	0.03621	0.03235	0.00610	0.96379	0.03235	0.00610	0.02055	0.00938	0.00328	0.97945	0.00938	0.00328	0.03736	0.03265	0.00613	0.00172	0.00259	0.01354
glutinosus_SG_FFS	glutinosus	SG	FFS	0	547	539	39	7.12980	2.07313	1.70893	0.05589	0.97780	0.00773	0.00376	0.03318	0.02186	0.00632	0.96682	0.02186	0.00632	0.02798	0.01094	0.00447	0.97202	0.01094	0.00447	0.03834	0.02295	0.00648	0.00880	0.01468	0.05589
welleri_IGG_FFS	welleri	IGG	FFS	138	852	843	60	7.04225	1.88380	0.10282	0.01099	0.97388	0.01011	0.00345	0.04988	0.03834	0.00671	0.95012	0.03834	0.00671	0.03066	0.01270	0.00386	0.96934	0.01270	0.00386	0.04284	0.02568	0.00549	-0.01056	0.00870	0.01099
cinereus_IGG_FFS	cinereus	IGG	FFS	6	868	855	175	20.16129	7.99654	2.52940	0.05398	0.96774	0.00684	0.00281	0.05836	0.02318	0.00517	0.94164	0.02318	0.00517	0.04877	0.01259	0.00381	0.95123	0.01259	0.00381	0.05226	0.01446	0.00408	-0.01163	0.01643	0.05398
cylindraceus_IGG_Fresh	cylindraceus	IGG	Fresh	0	879	866	41	4.66439	1.58703	0.24270	0.01662	0.98322	0.00648	0.00272	0.03242	0.02486	0.00532	0.96758	0.02486	0.00532	0.02005	0.00841	0.00309	0.97995	0.00841	0.00309	0.02901	0.01861	0.00460	-0.00512	0.00424	0.01662
cinereus_SG_FFS	cinereus	SG	FFS	7	859	847	101	11.75786	3.21304	1.31703	0.03916	0.96778	0.01039	0.00348	0.05667	0.03324	0.00622	0.94333	0.03324	0.00622	0.04160	0.01462	0.00412	0.95840	0.01462	0.00412	0.05246	0.02526	0.00542	-0.00853	0.01218	0.03916
cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	0	780	770	45	5.76923	1.63333	0.23252	0.01727	0.97821	0.00867	0.00333	0.04359	0.03468	0.00667	0.95641	0.03468	0.00667	0.02532	0.01071	0.00371	0.97468	0.01071	0.00371	0.03889	0.02723	0.00591	-0.00705	0.00348	0.01727
