Target	BaitCovg	w/in100nt	w/in300nt	w/in500nt
ALLTARGS	96.14%	99.85%	99.99%	100.00%
set1-Interluekin-binding-factor2ILF2	98.06%	100.00%	100.00%	100.00%
set1-JN798286-Plethodon-montanus-ILF3	95.69%	100.00%	100.00%	100.00%
set1-MHC-class-I-alphachain	96.93%	100.00%	100.00%	100.00%
set1-MHC-class-II-betachain	98.89%	100.00%	100.00%	100.00%
set1-MHC-class-II-exon2	96.21%	100.00%	100.00%	100.00%
set1-TLR-2	99.13%	100.00%	100.00%	100.00%
set1-chemokine-rec-4	98.39%	100.00%	100.00%	100.00%
set2-DQ995021-Plethodon-cinereus-RAG1	99.32%	100.00%	100.00%	100.00%
set2-EF107360-Plethodon-cinereus-SLC8A3	99.10%	100.00%	100.00%	100.00%
set2-JN798315-Plethodon-cinereus-MLC2A	96.00%	100.00%	100.00%	100.00%
set2-JN798392-Plethodon-montanus-RHO	95.54%	100.00%	100.00%	100.00%
set2-JN805744-Plethodon-shermani-V2R	97.57%	100.00%	100.00%	100.00%
set2-JQ866992-Plethodon-cinereus-ALB	99.45%	100.00%	100.00%	100.00%
set2-KM883214-Plethodon-cinereus-BDNF	98.50%	100.00%	100.00%	100.00%
set2-KU664729-Plethodon-cinereus-GAPD	97.90%	100.00%	100.00%	100.00%
set2-KU664799-Plethodon-cinereus-POMC	97.78%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000003248-OTX2-exon-1	97.38%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000003248-OTX2-exon-2	93.42%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000003248-OTX2-exon-3	93.89%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000014065-KLF9-exon-0	92.34%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000014065-KLF9-exon-1	99.54%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000018314-ALDH1A3-exon-0	98.48%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000018314-ALDH1A3-exon-10	92.91%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000018314-ALDH1A3-exon-12	98.66%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000018314-ALDH1A3-exon-13	61.54%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000018314-ALDH1A3-exon-2	93.67%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000018314-ALDH1A3-exon-3	93.94%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000018314-ALDH1A3-exon-4	94.59%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000018314-ALDH1A3-exon-7	92.25%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000018314-ALDH1A3-exon-9	92.31%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000029452-dlx2-exon-0	62.02%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000029452-dlx2-exon-1	75.77%	94.90%	100.00%	100.00%
set3-AMEXTC-0340000029884-NKX2-3-exon-0	68.39%	99.80%	100.00%	100.00%
set3-AMEXTC-0340000029884-NKX2-3-exon-1	92.91%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000035349-CACNA1A-exon-1	82.78%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000061764-tbx2-exon-0	53.33%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000061764-tbx2-exon-1	59.70%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000061764-tbx2-exon-2	93.20%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000061764-tbx2-exon-4	94.12%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000061764-tbx2-exon-5	95.53%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000061764-tbx2-exon-6	93.96%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000067092-Msx2-exon-1	92.67%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000067092-Msx2-exon-2	73.86%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000136421-HMX3-exon-0	94.97%	100.00%	100.00%	100.00%
set3-AMEXTC-0340000136421-HMX3-exon-1	42.57%	92.91%	100.00%	100.00%
set3-AMEXTC-0340000215550-atoh1-exon-1	33.84%	71.67%	100.00%	100.00%
set4-Amby-RHO	98.83%	100.00%	100.00%	100.00%
set4-Nanorana-ARR3	99.15%	100.00%	100.00%	100.00%
set4-Nanorana-GNAT1	99.05%	100.00%	100.00%	100.00%
set4-Nanorana-GNAT2	99.06%	100.00%	100.00%	100.00%
set4-Nanorana-GRK1	99.40%	100.00%	100.00%	100.00%
set4-Nanorana-GRK7	99.40%	100.00%	100.00%	100.00%
set4-Nanorana-LWS	99.12%	100.00%	100.00%	100.00%
set4-Nanorana-SAG	95.38%	100.00%	100.00%	100.00%
set4-Nanorana-SWS1	99.05%	100.00%	100.00%	100.00%
set4-Nanorana-SWS2	99.08%	100.00%	100.00%	100.00%
set5-uce-1143-p2-116409-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-1148-p1-223133-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-1194-p2-3388-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-1205-p1-213502-p2	91.67%	100.00%	100.00%	100.00%
set5-uce-1205-p2-213502-p2	91.67%	100.00%	100.00%	100.00%
set5-uce-1368-p2-510201-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-1423-p1-129912-p4	91.67%	100.00%	100.00%	100.00%
set5-uce-1423-p2-129912-p4	91.67%	100.00%	100.00%	100.00%
set5-uce-1423-p3-129912-p4	91.67%	100.00%	100.00%	100.00%
set5-uce-1423-p4-129912-p4	91.67%	100.00%	100.00%	100.00%
set5-uce-1446-p1-28629-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-1474-p1-227313-p2	91.67%	100.00%	100.00%	100.00%
set5-uce-1474-p2-227313-p2	91.67%	100.00%	100.00%	100.00%
set5-uce-1561-p1-10013-p2	91.67%	100.00%	100.00%	100.00%
set5-uce-1561-p2-10013-p2	91.67%	100.00%	100.00%	100.00%
set5-uce-1941-p1-28703-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-1964-p1-35877-p4	91.67%	100.00%	100.00%	100.00%
set5-uce-1964-p2-35877-p4	91.67%	100.00%	100.00%	100.00%
set5-uce-1964-p3-35877-p4	91.67%	100.00%	100.00%	100.00%
set5-uce-1964-p4-35877-p4	91.67%	100.00%	100.00%	100.00%
set5-uce-2018-p1-69626-p2	91.67%	100.00%	100.00%	100.00%
set5-uce-2018-p2-69626-p2	91.67%	100.00%	100.00%	100.00%
set5-uce-219-p1-224728-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-2196-p1-15334-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-2321-p1-113603-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-2336-p1-123129-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-2611-p1-218725-p1	91.67%	100.00%	100.00%	100.00%
